,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6,target
age,1.0,0.17373710056366062,0.18508466614655544,0.3354275870670726,0.2600608201502613,0.219243139847508,-0.07518097487514619,0.2038408997287552,0.27077424141816636,0.30173100763283783,0.18788875071891967
sex,0.17373710056366062,1.0,0.08816139902276222,0.2410104866490488,0.03527681917552949,0.1426372570335002,-0.3790896292273318,0.3321150930829645,0.149916136495838,0.20813321620038897,0.043061998451605354
bmi,0.18508466614655544,0.08816139902276222,1.0,0.3954108987177125,0.24977742174241246,0.2611699111644256,-0.3668109784050295,0.4138066018314402,0.44615653857325194,0.38867999390003893,0.5864501344746884
bp,0.3354275870670726,0.2410104866490488,0.3954108987177125,1.0,0.24246402270704165,0.18554846261290037,-0.17876163122564298,0.257650053283515,0.39348010904483205,0.390430023116037,0.44148175856257077
s1,0.2600608201502613,0.03527681917552949,0.24977742174241246,0.24246402270704165,1.0,0.8966629578104892,0.051519364314820425,0.5422072805232409,0.5155029243689457,0.325716753060709,0.21202248101455062
s2,0.219243139847508,0.1426372570335002,0.2611699111644256,0.18554846261290037,0.8966629578104892,1.0,-0.1964551237441792,0.6598168886666438,0.3183566651415615,0.2906003754970445,0.17405358696874246
s3,-0.07518097487514619,-0.3790896292273318,-0.3668109784050295,-0.17876163122564298,0.051519364314820425,-0.1964551237441792,1.0,-0.7384927292583822,-0.39857729342870957,-0.2736973014758417,-0.39478925067091825
s4,0.2038408997287552,0.3321150930829645,0.4138066018314402,0.257650053283515,0.5422072805232409,0.6598168886666438,-0.7384927292583822,1.0,0.617858973993728,0.4172121137122002,0.4304528847447728
s5,0.27077424141816636,0.149916136495838,0.44615653857325194,0.39348010904483205,0.5155029243689457,0.3183566651415615,-0.39857729342870957,0.617858973993728,1.0,0.4646688466913681,0.5658825924427436
s6,0.30173100763283783,0.20813321620038897,0.38867999390003893,0.390430023116037,0.325716753060709,0.2906003754970445,-0.2736973014758417,0.4172121137122002,0.4646688466913681,1.0,0.3824834842485807
target,0.18788875071891967,0.043061998451605354,0.5864501344746884,0.44148175856257077,0.21202248101455062,0.17405358696874246,-0.39478925067091825,0.4304528847447728,0.5658825924427436,0.3824834842485807,1.0
